text,label
الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح,abusive
صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعية واعادة توزيع ديموغرافي بسوريا,normal
و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و… ,normal
وليد جنبلاط كاتب الحكمة يا قذر ,abusive
شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,abusive
يا جبران باسيل يا معلم يا ريس يا استاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير,normal
"ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص",hate
نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر ,normal
صافي يا بقر,abusive
لا تعتب عليه هيدا اسمه ابو صرماي ,abusive
لو الدولة تحترم نفسها كان انت يالبلطجي في السجن ,abusive
مش عم يناموا الليل ليقدمولنا حكومة      ,normal
يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا,hate
هل تعرف مامعنى أن تدفع دولة نص مليار دولار لدولة أخرى مترنحة إقتصادياً وكانت تستطيع أن تستثمرهم… ,normal
قنبلة ذزية يروحو فيها الاثنين معا افضل حل ,abusive
مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك ,normal
لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف ,normal
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,normal
يستاهلوا ,normal
لا شرطي روسي يا ابن الستين كلب,abusive
في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدولة البراميلية بذبح الأطفال والنساء بالسكاكين وحرق بعضهم أحياء في بانياس لم…,normal
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… ,abusive
هيئتك يا ويئو اكل سمك ومتقل الليلة لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد ,normal
فضح الفاسدين مسؤولية كل مواطن شريف ,normal
متظاهر افريقي في باريس يقول يعيش بشار الأسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا ,normal
الامير طلال حبيب قلبنا وبيمون عأكتر من هيك ,normal
نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه,abusive
ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال… ,normal
هلق شو على مين انضغط منشان تشكيل الحكومة,normal
علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد ,normal
هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل  ,normal
يا عيب لشوم عليك يا كركوز ,abusive
لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس… ,normal
سمج سميك زنخ كمخة,abusive
هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة ,normal
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة ,abusive
نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم ,abusive
يسعد صباحك معالي الوزير ,normal
قليل بحقه الحذاء ,abusive
كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,abusive
انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة ,abusive
جبران باسيل رجل شرّير,abusive
عاهر بكلامو بس معلمك شو        ,abusive
أنا بس شوف نديم و أمثالو كيف بيحكو عن جبران باسيل بتأكّد أكتر انو جبران باسيل عم يشتغل صحّ,normal
كان الله بعونك وبعون الي دافع عنك ,normal
"بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،…",normal
نحن نثق بال قضاء اللبناني ,normal
بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,normal
عقبال يغرقوا التنين بالمجارير,abusive
درس فى التاريخ ,normal
انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…,abusive
بلبنان منخبر ومنقول الحقائق كما هي لا أعتقد أن عمليات الإغتيال قامت بها الدولة أو ج…,normal
كول هوا ابو وجهك,abusive
بربحك جميل من كيسك انو ناوي يعمل شغلو,normal
عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂,abusive
آلوزير جبران باسيل وزير لبناني فقط لا غير,normal
بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب…,abusive
وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان ,normal
"كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق … ",abusive
اكل الهوى للواطي دواء الله يشفيك ,abusive
لا كل الثواار كلاب متل النظام هيك جملة سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف؟,hate
"اباقاش تسكت وله ، اسكت يا قرد العقاب لوهاب وهاب قاتل ابو دياب ",abusive
للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف ,abusive
سوف تبقى سوريه وفية ومنتصره رغم كل الاوجاع وتبقى صامده في وجه الاعداء سوريا التي حاربت كل الدول العرب… ,normal
على الرحب يا جماعة السدس   ,normal
مهما تستأجر أشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه… ,normal
وقت تشوفوا و تسمعوا جبران باسيل متل لما الشيطان يسمع كلام الإنجيل,abusive
كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيي… ,normal
أذا جبران باسيل يقودكم والجاهل شيخ الجاهلية يصفق للقرد       اكيد بيكون ي…,hate
أحقر جريدة بل الوجود,abusive
رزق الهبل عالمجانين آه يا هبيلة ,abusive
"لما تعلق كل يوم بعجقات سير خانقة لازم تفرح وتتذكر إنك عايش ببلد منتج وقوي اقتصادياً ومالياً وقوي اجتماعياً ومعيشياً وكل شي فيه قوي، أجلّك ",normal
ما تفضلت به يا أخي هو منتشر منذ عقود ومنذ قررنا كلبنانيين أن… ,normal
والله لو في دوله ما تركتك انت ورئيسك ,normal
يجب محاربة الفساد ,normal
خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة,abusive
متل نبيه بري ,normal
اننا موحدون توحيديين إلى يوم الدين ✌ ✌ ✌  ,normal
يرحمها ويصبر اهلها,normal
ولك استحي بقى ما في عا لسانك الا سوريا ,abusive
يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي ,normal
وشو بتحب نقلك يا تافه,abusive
"وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد شعب واعي… ",normal
ضيعان الفهم يا دكتور ؟؟,abusive
طيب خلينا بالنص ايران كاميرون,normal
وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها ,abusive
بيكي أندرسون تسأل جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها بردية زجل عن الشعب اللبناني العظيم…,normal
مين جاب سيرة عقدة أغلبية الشعب اللبناني جبران باسيل؟    ,normal
نصرالله كلام وزير الخارجية جبران باسيل عن ضرورة حل مسألة اخفاء الإمام الصدر كان مهماً,normal
"قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف ",abusive
يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع… ,abusive
كلمة جبران باسيل أخجلته وأخجلت كل الأمة العربية,normal
فعلا زمن الرويبضة ومناسب جدا ,normal
يا عمي هيدا الزلمي جاهل,abusive
العاهر الكبير عون…,abusive
صباح جميل كجمال قلوبكم ,normal
وانت وبيك شو حقك فرنك فرنسي يعني ولادولار ,abusive
دبي رزقها الله ب محمد بن راشد عمل على تنميتها وإدارتها كأحسن ما تكون التنمية والإدارة زرتها قبل س… ,normal
هذه عمامات سوداء طلبت بالابيض ,normal
صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب,normal
"مرحبا يا رجال قلعة الممانعة، بيسلم عليكن ابن رامي مخلوف من دبي وبيقلكن اصمدو وموتو كمان شوي جاي الصيفية وسفرت الكوت دازور مكل…",normal
ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل   ,abusive
يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟ ,abusive
فهمتوا يا حقودين يا جماعة الحركة,hate
انت صنفتو بخانة الخيانة وهيدا رد على ردك ومش كل الادوية فعالة وان شاء الله الكل بيفتخر بشهادة الحريري,abusive
هذا ردي له نعم انا سعودي    وكلي فخر راسي فوق أنتم ما قهركم وداعس على روس… ,abusive
ال ً مبلشين من الليلة بالحملة ع جبران باسيل ب منا وجر,normal
هي و صرمايتي سوى ,abusive
ربما يكون عماد عثمان بمثابة صندوق اسود للمشنوق ,normal
"سليم عون لا يستطيعون التصويب على ​الرئيس ميشال عون​ فيصوبون على رئيس التيار ​ جبران باسيل​ او علينا، لسنا مكسر عصا لأح…",normal
دائما انت على حق ❤ ,normal
خليك بي الجاهليه لانو ما الك الى الجهل تبعك قطر ام العرب وام لبنان وستبقى قطر والخليج اسيادك يا فار من العداله ,hate
ياريت شعبك بيسمع واذا سمع يوقف واذا وقف يحدث الفرق شعب لبنان تعبانة ,normal
ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك ,hate
"الوزير جبران باسيل كان اول من طرح موضوع عودتهم الى بلدهم ليس انطلاقاً من موقف عنصري، معتبرا ان الجميع لاحقاً التقوا على ا…",normal
دئما يلحق بك الدمااار ,abusive
كل الميليشيات تكتلت تتواجه جبران باسيل مش غريب ما حدا قدر يلاقي دليل يحارب جبران فيه؟؟ مياومو الإعلام,normal
احييييي يا قضاء ,normal
هل انت سياسي بالبلد او لأ ؟؟ ,normal
وطننا يحتاج الى طبقة حاكمة غير فاسدة ,normal
لا صديقي مو عيب واحد قاتل وواحد اداة بيد قاتل ,abusive
احضر لي تصريح واحد تقول فيه اسرائيل سأحرق ايران و الايرانيين و لبنان و اللبنانيين او سوريا و السوريين …,normal
"يلعن روح حافظ ابن ستين الف كلب، دمرت البلد وقتلت مليون وهجرت ملايين وتقول قد ، قد لا يكفي اعدامك لمرة واحدة",abusive
الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعية من بلدنا ليرجعوا النازحين يلي احتليتوا أراضيهم وهجرتون يا مجرمين,hate
لو سمحت واحد صالونه لحم وعيش شلاني وواحد سف اب ,normal
و هو بذاته يلي عمل فتنة بالبلد و هو كمان يلي بيستخدموا نظام الأسد مثل الدومينو و هو ك… ,normal
"الرجل ما قال امن اسرائيل حق ، نصيحتي للوزير جبران باسيل يحكي اللغة العربية بأية مق…",normal
كول هوا مش شغلك,abusive
عايشين على اشحاته هذا طبع اشيعه يعشون مرتزقه ,hate
اشبو ذا يسجل كول حاجه تراها مباراه مو محاضره هوا,abusive
يا ياسين الزلمه ما عندوه سيوله اخذت منوه بدوه حدا يسكت تمه بشوية مصار… ,normal
"جبران عفلق، حبش الخ على الطريق",normal
جبران باسيل جمع يلي ما بينجمعوا    ,normal
نتائج كتاب العدل تجربة رائدة لم تأخذ أي حساب طائفي أو مذهبي وهي تجربة يجب أن تعمم مبروك لوزير العدل وللجنة القضاة هذا الإنجاز ,normal
"فعلاً لا يناسب الا زماننا، في زمان على فيه صوت الرويبضة، لكن عندما تحين الساعة سيعود كل الى حجمه ولو كا… ",normal
فهمان خدمه الناس غلط   ,normal
شو بدك من علاء الخوجة؟ ما تعبت وانت تصرخ عليه انسى الموضوع ما رح يعطيك مصاري ,normal
سوف يتحاسبو جميعالان الحق سلطان ,normal
سبحان الله تقولي حقيقة,normal
ستموت بحسرة الخواجه ولن يعطيك شرف التحدث معه وابتزازه ايها الازعر السفيه ضبضب ,abusive
جبران باسيل لل ربما علينا أن نعلم واشنطن ولندن كيف يديرون بلداً من دون ميزانية,normal
زحيف ,abusive
ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر,normal
شو راي العماد عون بتعليقك ,normal
لك كانت صفر صفر رحت طالعت الكلاب يشخوا كم دقيقة رجعت,normal
كم سهرنا من ليال للصباح لا ننم,normal
لو بتخفف بس كنت اول المعجبين بقطر بس دعمت لجنوب وعمرتو بعد حرب تموز أو اخدت من لغنيمه وس… ,normal
كلمة جبران باسيل في القمة الاقتصادية تحتاج الى سدادات اذن,normal
جبران باسيل لا يقل عمالة عن حسن نصرالله,abusive
انا اتمنى سليمان فرنجية لكن شعوري بان جبران باسيل سيكون الرئيس القادم,normal
في مواقف وزير خارجية لبنان جبران باسيل المؤيدة لبشار الأسد ما هو أبعد من السياسة التفسير في الطائفية الفاقعة التي يصدر ع…,normal
شيلللللل للفهم    بس ما قلتلنا انت عمين محسوب عل عاهرات او السياسيين ,abusive
خليك مخبأ ب الجاهلية ,normal
جبران باسيل مهضوم كتير قال بدو يعمر سوريا و هوي ببلدو لبنان مش قادر يعمر مجرور,abusive
"عن أي دولة عم تحكي؟؟ عن عهد التبعية والفشل والجرائم والفساد والصفقات يللي عحساب كل المواطنين ، العهد يل… ",normal
ههههههههههه كول هوا,abusive
انتو يا جماعة اوسكار ما خصكم بعلاقة جبران باسيل فينا,normal
جبران باسيل يؤكد جرأته مرة اخرى بحديثه في المؤتمر الصحفي مع ابو الغيط عن تأثير الدول الغربية على قرار القُمة السابقة ب…,normal
وفد     يا زلمة شو هال مسخرة انت؟ ,abusive
صباح الانوار انا بس عّم حاول افهم ,normal
"البيوت الحمرا بل المرجة ، والجامع اشرف وأطهر منك",normal
هيدا الصحيح سلمت يداكي ,normal
انا بقول الحق على جبران باسيل   ,normal
"تلات رؤسا متقاسمين الصلاحيّات، أكبرهم سنّا ميشال عون ما بيتدخّل بشي بس بذات الوقت توقيعو أساسي لنفا…",normal
انو بشرفك الكاميرات ما كانو شغالين ,normal
لما تقلّك أولاً مش طايقتك شو إلو لزوم تانياً؟ 😎 ,normal
شيء خطير هذه المقالة الأولى ,normal
"يحتاج شعب جديد، الى ثوار ",normal
اخرس يا أيها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس إلى مزبلة التاريخ ,hate
انا وعم بحضر عل اليوم اختصاصية تغذية لاحظت شغلة ليه كل اختصاصيات التغذية بيحكوا بنفس الطريقة؟ 😀,normal
