,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,content,label,pred,string_label,string_pred,target_race_asian,target_race_black,target_race_latinx,target_race_middle_eastern,target_race_native_american,target_race_pacific_islander,target_race_white,target_race_other,target_race,target_religion_atheist,target_religion_buddhist,target_religion_christian,target_religion_hindu,target_religion_jewish,target_religion_mormon,target_religion_muslim,target_religion_other,target_religion,target_origin_immigrant,target_origin_migrant_worker,target_origin_specific_country,target_origin_undocumented,target_origin_other,target_origin,target_gender_men,target_gender_non_binary,target_gender_transgender_men,target_gender_transgender_unspecified,target_gender_transgender_women,target_gender_women,target_gender_other,target_gender,target_sexuality_bisexual,target_sexuality_gay,target_sexuality_lesbian,target_sexuality_straight,target_sexuality_other,target_sexuality,target_age_children,target_age_teenagers,target_age_young_adults,target_age_middle_aged,target_age_seniors,target_age_other,target_age,target_disability_physical,target_disability_cognitive,target_disability_neurological,target_disability_visually_impaired,target_disability_hearing_impaired,target_disability_unspecific,target_disability_other,target_disability,loss
0,0,0,0,0,When you contry is so shitty that even refugees don't want come,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.809552192687988
1,1,1,1,1,The people who need to be hung are the Muslims who started the 2002 riots by burning 50 Hindus to death,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.53654146194458
2,2,2,2,2,The democrats are inviting more homeless illegal people to cross the border while they complain it's not enough money and housing while these illegals are jumping the line for affordable housing while some Americans have been waiting for years. Seems like all illegals do is break laws and jump lines.,1.0,0.0,hatespeech,supportive,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.949265480041504
3,3,3,3,3,Niggas is really pussy. They are truly pussy.,1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0968546867370605
4,4,4,4,4,"Hozier — Take Me To Church He said fuck the homophobic church community and fuck the government, too. URL",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.974518895149231
5,5,5,5,5,"The migrants need to stay away from thr border, so meh. My issue is: Who wants to bang AOC? Those are the people who are sick, watch them. Today it's AOC, tomorrow it's the pony giving rides at the petting zoo",1.0,0.0,hatespeech,supportive,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.905775547027588
6,6,6,6,6,filthy gay fucks URL,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7414885759353638
7,7,7,7,7,Dump the nigga,0.0,1.0,supportive,hatespeech,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.768902778625488
8,8,8,8,8,"Imagine being a old white Debbie looking actress. Them roles are not running out anytime soon, them hoes getting paid.",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6.302188873291016
9,9,9,9,9,"""Israelis like to build. Arabs like to bomb crap and live in open sewage. This is not a difficult issue. #settlementsrock"" -Ben Shapiro",1.0,0.0,hatespeech,supportive,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.488647699356079
10,10,10,10,10,"Bro if Iran wanted to they could blow their ships out the water, Iran just playing games",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0017619132995605
